fund_name,Predicted strategy,strategy evidence,source meta data
Columbia Variable Portfolio - Large Cap Index Fund,Equity Long Only (Low Risk),"Columbia Variable Portfolio

Large Cap Index Fund

<head_breaker>

SUMMARY OF COLUMBIA VP – LARGE CAP INDEX FUND Investment Objective Columbia Variable Portfolio (VP) – Large Cap Index Fund (the Fund) seeks to provide shareholders with long-term capital appreciation. Fees and Expenses of the Fund This table describes the fees and expenses that you may pay as an investor in the Fund. The table does not reflect any fees or expenses imposed by your Contract or Qualified Plan, which are disclosed in your separate Contract prospectus or Qualified Plan disclosure documents. If the additional fees or expenses were reflected, the expenses set forth below would be higher.",{'source': 'MutualFundSummary/Columbia Variable Portfolio - Large Cap Index Fund.txt'}
Columbia Variable Portfolio - Mid Cap Growth Fund,Equity Long Only (Low Risk),"Columbia Variable Portfolio

Mid Cap Growth Fund

<head_breaker>

SUMMARY OF COLUMBIA VP – MID CAP GROWTH FUND Investment Objective Columbia Variable Portfolio (VP) – Mid Cap Growth Fund (the Fund) seeks to provide shareholders with growth of capital. Fees and Expenses of the Fund This table describes the fees and expenses that you may pay as an investor in the Fund. The table does not reflect any fees or expenses imposed by your Contract or Qualified Plan, which are disclosed in your separate Contract prospectus or Qualified Plan disclosure documents. If the additional fees or expenses were reflected, the expenses set forth below would be higher.",{'source': 'MutualFundSummary/Columbia Variable Portfolio - Mid Cap Growth Fund.txt'}
Columbia Variable Portfolio - Mid Cap Value Fund,Equity Long Only (Low Risk),"Columbia Variable Portfolio

Mid Cap Value Fund

<head_breaker>

SUMMARY OF COLUMBIA VP – MID CAP VALUE FUND Investment Objective Columbia Variable Portfolio (VP) – Mid Cap Value Fund (the Fund) seeks to provide shareholders with long-term growth of capital. Fees and Expenses of the Fund This table describes the fees and expenses that you may pay as an investor in the Fund. The table does not reflect any fees or expenses imposed by your Contract or Qualified Plan, which are disclosed in your separate Contract prospectus or Qualified Plan disclosure documents. If the additional fees or expenses were reflected, the expenses set forth below would be higher.",{'source': 'MutualFundSummary/Columbia Variable Portfolio - Mid Cap Value Fund.txt'}
Columbia Variable Portfolio - Select Smaller-Cap Value Fund,Equity Long Only (Low Risk),"Columbia Variable Portfolio

Select Smaller

Cap Value Fund

<head_breaker>

SUMMARY OF COLUMBIA VP – SELECT SMALLER-CAP VALUE FUND Investment Objective Columbia Variable Portfolio (VP) – Select Smaller-Cap Value Fund (the Fund) seeks to provide shareholders with long-term capital growth. Fees and Expenses of the Fund This table describes the fees and expenses that you may pay as an investor in the Fund. The table does not reflect any fees or expenses imposed by your Contract or Qualified Plan, which are disclosed in your separate Contract prospectus or Qualified Plan disclosure documents. If the additional fees or expenses were reflected, the expenses set forth below would be higher.",{'source': 'MutualFundSummary/Columbia Variable Portfolio - Select Smaller-Cap Value Fund.txt'}
Columbia Variable Portfolio - Select Large-Cap Value Fund,Equity Long Only (Low Risk),"Columbia Variable Portfolio

Select Large

Cap Value Fund

<head_breaker>

SUMMARY OF COLUMBIA VP – SELECT LARGE-CAP VALUE FUND Investment Objective Columbia Variable Portfolio (VP) – Select Large-Cap Value Fund (the Fund) seeks to provide shareholders with long-term growth of capital. Fees and Expenses of the Fund This table describes the fees and expenses that you may pay as an investor in the Fund. The table does not reflect any fees or expenses imposed by your Contract or Qualified Plan, which are disclosed in your separate Contract prospectus or Qualified Plan disclosure documents. If the additional fees or expenses were reflected, the expenses set forth below would be higher.",{'source': 'MutualFundSummary/Columbia Variable Portfolio - Select Large-Cap Value Fund.txt'}
Columbia Variable Portfolio - U.S. Government Mortgage Fund,Fixed Income Long Only (Low Risk),"Columbia Variable Portfolio

U.S. Government Mortgage Fund

<head_breaker>

SUMMARY OF COLUMBIA VP – U.S. GOVERNMENT MORTGAGE FUND Investment Objective Columbia Variable Portfolio (VP) – U.S. Government Mortgage Fund (the Fund) seeks to provide shareholders with current income as its primary objective and, as its secondary objective, preservation of capital. Fees and Expenses of the Fund This table describes the fees and expenses that you may pay as an investor in the Fund. The table does not reflect any fees or expenses imposed by your Contract or Qualified Plan, which are disclosed in your separate Contract prospectus or Qualified Plan disclosure documents. If the additional fees or expenses were reflected, the expenses set forth below would be higher.",{'source': 'MutualFundSummary/Columbia Variable Portfolio - U.S. Government Mortgage Fund.txt'}
CORE EQUITY PLUS FUND,Equity Long Only (Low Risk),"Principal Investment Strategies

The managers use quantitative models to construct the portfolio of equity securities for the fund. Under normal market conditions, they will invest at least 80% of the fund’s net assets in equity securities. The fund invests approximately 130% of its assets in long positions, while 30% of its assets are sold short. A long position arises when the fund buys a security outright. A short position arises when the fund sells a security it does not own but has borrowed in anticipation that the market price of the security will decline. If the market price in fact declines, the fund can replace the borrowed security at a lower price and capture the value represented by the difference between the higher sale price and the lower replacement price. The proceeds from the securities sold short are used to purchase an additional 30% of long positions. The net investment exposure for the fund is a 100% long market exposure.",{'source': 'MutualFundSummary/CORE EQUITY PLUS FUND.txt'}
CORE PLUS FUND,Fixed Income Long Only (Low Risk),"Principal Investment Strategies

The fund invests at least 65% of its assets in investment-grade, non-money market debt securities. An investment-grade security is one that has been rated by a nationally recognized statistical rating organization in its top four credit quality categories or determined by the advisor to be of comparable credit quality. Debt securities include fixed-income investments such as notes, bonds, commercial paper and U.S. Treasury securities. These securities, which may be payable in U.S. or foreign currencies, may include corporate bonds and notes, government securities and securities backed by mortgages or other assets.",{'source': 'MutualFundSummary/CORE PLUS FUND.txt'}
Cornerstone Moderately Aggressive Fund,Balanced Fund (Low Risk),"Cornerstone Moderately Aggressive Fund

<head_breaker>",{'source': 'MutualFundSummary/Cornerstone Moderately Aggressive Fund.txt'}
Corporate Bond Fund,Fixed Income Long Only (Low Risk),"The fund relies on the professional judgment of its investment adviser to make decisions about the fund’s portfolio investments. The basic investment philosophy of the investment adviser is to seek to invest in attractively priced securities that, in its opinion, represent good, long-term investment opportunities. The investment adviser believes that an important way to accomplish this is through fundamental research, which may include analysis of credit quality, general economic conditions and various quantitative measures and, in the case of corporate obligations, meeting with company executives and employees, suppliers, customers and competitors. Securities may be sold when the investment adviser believes that they no longer represent relatively attractive investment opportunities.

1     American Funds Insurance Series - Corporate Bond Fund / Prospectus

Principal risks",{'source': 'MutualFundSummary/Corporate Bond Fund.txt'}
Cornerstone Moderately Conservative Fund,Balanced Fund (Low Risk),"Cornerstone Moderately Conservative Fund

<head_breaker>",{'source': 'MutualFundSummary/Cornerstone Moderately Conservative Fund.txt'}
DELAWARE EMERGING MARKETS FUND,Equity Long Only (Low Risk),"DELAWARE EMERGING MARKETS FUND

<head_breaker>

Delaware Emerging Markets Fund

What is the Fund’s investment objective?

Delaware Emerging Markets Fund seeks long-term capital appreciation.

What are the Fund’s fees and expenses?

The table below describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales-charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in Delaware FundsSM by Macquarie. More information about these and other discounts is available from your financial intermediary, in the Fund’s Prospectus under the section entitled “About your account,” and in the Fund’s statement of additional information (SAI) under the section entitled “Purchasing Shares.”

Shareholder fees (fees paid directly from your investment)

Class

A

C

R

Inst.

R6

Maximum sales charge (load) imposed on purchases as a percentage of offering price

5.75%

none

none

none

none",{'source': 'MutualFundSummary/DELAWARE EMERGING MARKETS FUND.txt'}
DELAWARE GLOBAL VALUE FUND,Equity Long Only (Low Risk),"DELAWARE GLOBAL VALUE FUND

<head_breaker>

Delaware Global Value Fund

What is the Fund’s investment objective?

Delaware Global Value Fund seeks long-term capital appreciation.

What are the Fund’s fees and expenses?

The table below describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales-charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in Delaware FundsSM by Macquarie. More information about these and other discounts is available from your financial intermediary, in the Fund’s Prospectus under the section entitled “About your account,” and in the Fund’s statement of additional information (SAI) under the section entitled “Purchasing Shares.”

Shareholder fees (fees paid directly from your investment)

Class

A

C

R

Inst.

Maximum sales charge (load) imposed on purchases as a percentage of offering price

5.75%

none

none

none",{'source': 'MutualFundSummary/DELAWARE GLOBAL VALUE FUND.txt'}
Delaware International Small Cap Fund,Equity Long Only (Low Risk),"Delaware International Small Cap Fund <head_breaker>

Delaware International Small Cap Fund

What is the Fund’s investment objective?

Delaware International Small Cap Fund seeks long-term capital appreciation.

What are the Fund’s fees and expenses?

The table below describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales-charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in Delaware FundsSM by Macquarie. More information about these and other discounts is available from your financial intermediary, in the Fund’s Prospectus under the section entitled “About your account,” and in the Fund’s statement of additional information (SAI) under the section entitled “Purchasing Shares.”

Shareholder fees (fees paid directly from your investment)

Class

A

C

R

Inst.

R6

Maximum sales charge (load) imposed on purchases as a percentage of offering price

5.75%

none

none

none

none",{'source': 'MutualFundSummary/Delaware International Small Cap Fund.txt'}
DELAWARE INTERNATIONAL VALUE EQUITY FUND,Equity Long Only (Low Risk),"DELAWARE INTERNATIONAL VALUE EQUITY FUND <head_breaker>

Delaware International Value Equity Fund

What is the Fund’s investment objective?

Delaware International Value Equity Fund seeks long-term growth without undue risk to principal.

What are the Fund’s fees and expenses?

The table below describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales-charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in Delaware FundsSM by Macquarie. More information about these and other discounts is available from your financial intermediary, in the Fund’s Prospectus under the section entitled “About your account,” and in the Fund’s statement of additional information (SAI) under the section entitled “Purchasing Shares.”

Shareholder fees (fees paid directly from your investment)

Class

A

C

R

Inst.

R6

Maximum sales charge (load) imposed on purchases as a percentage of offering price

5.75%",{'source': 'MutualFundSummary/DELAWARE INTERNATIONAL VALUE EQUITY FUND.txt'}
DISCIPLINED GROWTH FUND,Equity Long Only (Low Risk),"2

Principal Investment Strategies

In selecting stocks for the fund, the portfolio managers initially identify an eligible universe of growth stocks then use quantitative management techniques in a two-step process. First, the managers rank stocks, primarily large capitalization, publicly traded U.S. companies with a market capitalization greater than $2 billion, from most attractive to least attractive based on an objective set of measures, including valuation, quality, growth, and sentiment. Second, the portfolio managers use a quantitative model to build a portfolio of stocks from the ranking described above that they believe will provide the optimal balance between risk and expected return.

The portfolio managers generally sell a stock when they believe it has become less attractive relative to other opportunities, its risk characteristics outweigh its return opportunity or specific events alter its prospects.",{'source': 'MutualFundSummary/DISCIPLINED GROWTH FUND.txt'}
DIVERSIFIED BOND FUND,Fixed Income Long Only (Low Risk),"Principal Investment Strategies

Under normal market conditions, the fund invests at least 80% of its net assets in high- and medium-grade, non-money market debt securities. These securities, which may be payable in U.S. or foreign currencies, may include corporate bonds and notes, government securities and securities backed by mortgages or other assets. Shorter-term debt securities round out the portfolio.

The fund invests most of its assets in investment-grade securities. An investment-grade security is one that has been rated by an independent rating agency in its top four credit quality categories or determined by the advisor to be of comparable credit quality. However, up to 15% of the fund’s assets may be invested in debt securities rated in the fifth-highest category by an independent rating agency, or determined to be of comparable quality by the advisor. The weighted average maturity of the fund’s portfolio must be three and one-half years or longer.",{'source': 'MutualFundSummary/DIVERSIFIED BOND FUND.txt'}
Dreyfus Alternative Diversifier Strategies Fund,Balanced Fund (Low Risk),"Principal Investment Strategy To pursue its goal, the fund normally allocates its assets across non-traditional or ""alternative"" asset classes and investment strategies. The fund is designed to complement and diversify traditional stock and bond portfolios. The fund normally allocates its assets among other investment companies (the underlying funds) that employ alternative investment strategies. Underlying funds may include other funds in the Dreyfus Family of Funds and unaffiliated open-end funds, closed-end funds and exchange-traded funds (ETFs). The fund generally will allocate its assets to other funds managed by The Dreyfus Corporation (Dreyfus), and will allocate its assets to unaffiliated funds generally when the desired economic exposure to a particular alternative investment strategy is not available through a fund managed by Dreyfus, the fund's investment adviser, or its affiliates or for diversification purposes.",{'source': 'MutualFundSummary/Dreyfus Alternative Diversifier Strategies Fund.txt'}
Dreyfus Global Equity Income Fund,Equity Long Only (Low Risk),"Dreyfus Global Equity Income Fund <head_breaker>

Fund Summary

Investment Objective The fund seeks total return (consisting of capital appreciation and income).

Fees and Expenses This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in the fund or shares of other funds in the Dreyfus Family of Funds that are subject to a sales charge. More information about sales charges, including these and other discounts and waivers, is available from your financial professional and in the Shareholder Guide section beginning on page 11 of the prospectus and in the How to Buy Shares section and the Additional Information About How to Buy Shares section beginning on page II-1 and page III-1, respectively, of the fund's Statement of Additional Information.

Shareholder Fees (fees paid directly from your investment)

Class A

Class C",{'source': 'MutualFundSummary/Dreyfus Global Equity Income Fund.txt'}
Dreyfus International Bond Fund,Fixed Income Long Only (Low Risk),"Principal Investment Strategy To pursue its goal, the fund normally invests at least 80% of its net assets, plus any borrowings for investment purposes, in fixed-income securities. The fund also normally invests at least 65% of its assets in non-U.S. dollar denominated fixed-income securities of foreign governments and companies located in various countries, including emerging markets. The fund invests principally in bonds, but its fixed-income investments also may include notes (including structured notes), mortgage-related securities, asset-backed securities, convertible securities, floating rate loans (limited to up to 20% of the fund's net assets) and other floating rate securities, eurodollar and Yankee dollar instruments, preferred stocks and money market instruments. The fund may invest up to 25% of its assets in emerging markets generally and up to 5% of its assets in any single emerging market country.",{'source': 'MutualFundSummary/Dreyfus International Bond Fund.txt'}
Dreyfus Global Emerging Markets Fund,Equity Long Only (Low Risk),"Principal Investment Strategy To pursue its goal, the fund normally invests at least 80% of its net assets, plus any borrowings for investment purposes, in common stocks and other equity securities (or derivative or other strategic instruments with similar economic characteristics) of companies organized or with their principal place of business, or majority of assets or business, in emerging market countries. The fund considers emerging market countries to be all countries represented in the Morgan Stanley Capital International Emerging Markets Index (MSCI® EM Index), the fund's benchmark index. The MSCI® EM Index is a free float-adjusted, market-capitalization-weighted index designed to measure the equity performance of emerging market countries in Africa, Asia, Europe, Latin America, and the Middle East. The fund also may invest in companies organized or with their principal place of business, or majority of assets or business, in developed markets and pre-emerging markets, also",{'source': 'MutualFundSummary/Dreyfus Global Emerging Markets Fund.txt'}
Dreyfus Select Managers Long/Short Fund,Equity Long Only (Low Risk),"Dreyfus Select Managers Long/Short Fund <head_breaker>

Fund Summary

Investment Objective

The fund seeks long

term capital appreciation.

Fees and Expenses This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in the fund or shares of other funds in the Dreyfus Family of Funds that are subject to a sales charge. More information about sales charges, including these and other discounts and waivers, is available from your financial professional and in the Shareholder Guide section beginning on page 16 of the prospectus and in the How to Buy Shares section and the Additional Information About How to Buy Shares section beginning on page II-1 and page III-1, respectively, of the fund's Statement of Additional Information.

Shareholder Fees (fees paid directly from your investment)

Class A

Class C

Class I

Class Y",{'source': 'MutualFundSummary/Dreyfus Select Managers LongShort Fund.txt'}
Dreyfus Yield Enhancement Strategy Fund,Fixed Income Long Only (Low Risk),"Principal Investment Strategy To pursue its goal, the fund normally allocates its assets across fixed-income investment strategies. The fund is designed to complement and diversify traditional bond portfolios. The fund normally allocates its assets among other investment companies (the underlying funds) that employ various fixed-income investment strategies, including those focusing on domestic and foreign corporate bonds, high yield securities (""junk"" bonds), senior loans, emerging markets debt, municipal securities and Treasury and other inflation-protected securities (TIPS). Underlying funds may include other funds in the Dreyfus Family of Funds and unaffiliated open-end funds, closed-end funds and exchange-traded funds (ETFs). The fund generally will allocate its assets to other funds managed by The Dreyfus Corporation (Dreyfus), and will allocate its assets to unaffiliated funds generally when the desired economic exposure to a particular fixed-income investment strategy is not",{'source': 'MutualFundSummary/Dreyfus Yield Enhancement Strategy Fund.txt'}
Eaton Vance Arizona Municipal Income Fund,Fixed Income Long Only (Low Risk),"Eaton Vance Arizona Municipal Income Fund <head_breaker>

Arizona Municipal Income Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax and Arizona state personal income tax.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance Arizona Municipal Income Fund.txt'}
Eaton Vance Connecticut Municipal Income Fund,Fixed Income Long Only (Low Risk),"Eaton Vance Connecticut Municipal Income Fund <head_breaker>

Connecticut Municipal Income Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax and Connecticut state personal income tax.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance Connecticut Municipal Income Fund.txt'}
Eaton Vance Dividend Builder Fund,Equity Long Only (Low Risk),"Eaton Vance Dividend Builder Fund <head_breaker>

Fund Summaries

Eaton Vance Dividend Builder Fund

Investment Objective

The Fund’s investment objective is to seek total return.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance Dividend Builder Fund.txt'}
Eaton Vance Global Small-Cap Fund,Equity Long Only (Low Risk),"Eaton Vance Global Small

Cap Fund

<head_breaker>

Eaton Vance Global Small

Cap Fund

In connection with the proposed reorganization of Eaton Vance Global Small-Cap Fund into Eaton Vance Global Small-Cap Equity Fund (formerly Eaton Vance Tax-Managed Global Small-Cap Fund), it is anticipated that on or about May 9, 2018, shares of Eaton Vance Global Small-Cap Fund will no longer be available for purchase or exchange.

Investment Objective

The Fund’s investment objective is to seek long-term total return.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance Global Small-Cap Fund.txt'}
Eaton Vance Growth Fund,Equity Long Only (Low Risk),"Eaton Vance Growth Fund

<head_breaker>

Eaton Vance Growth Fund

Investment Objective

The Fund’s investment objective is to seek total return.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance Growth Fund.txt'}
Eaton Vance Municipal Opportunities Fund,Fixed Income Long Only (Low Risk),"Eaton Vance Municipal Income Funds	21	Prospectus dated December 1, 2017

The Fund may purchase derivative instruments, which derive their value from another instrument, security or index. The Fund may purchase or sell various kinds of residual interest bonds, financial futures contracts and options thereon to hedge against changes in interest rates or as a substitute for the purchase of portfolio securities. The Fund also may enter into interest rate swaps, forward rate contracts and credit derivatives, which may include credit default swaps, total return swaps or credit options, as well as purchase an instrument that has greater or lesser credit risk than the municipal bonds underlying the instrument. There is no stated limit on the Fund’s use of derivatives.",{'source': 'MutualFundSummary/Eaton Vance Municipal Opportunities Fund.txt'}
Eaton Vance Minnesota Municipal Income Fund,Fixed Income Long Only (Low Risk),"Principal Investment Strategies

Under normal market circumstances, the Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in municipal obligations that are exempt from regular federal income tax and the state taxes specified in the Fund’s investment objective (the “80% Policy”). The Fund may invest without limit in obligations the income from which is subject to the federal alternative minimum tax. At least 75% of net assets normally will be invested in municipal obligations rated at least investment grade at the time of investment (which are those rated Baa or higher by Moody’s Investors Service, Inc. (“Moody’s”), or BBB or higher by either Standard & Poor’s Ratings Services (“S&P”) or Fitch Ratings (“Fitch”)) or, if unrated, determined by the investment adviser to be of at least investment grade quality. The

Eaton Vance Municipal Income Funds	15	Prospectus dated December 1, 2017",{'source': 'MutualFundSummary/Eaton Vance Minnesota Municipal Income Fund.txt'}
Eaton Vance Large-Cap Value Fund,Equity Long Only (Low Risk),"Eaton Vance Large

Cap Value Fund

<head_breaker>

Eaton Vance Large

Cap Value Fund

Investment Objective

The Fund’s investment objective is to seek total return.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance Large-Cap Value Fund.txt'}
Eaton Vance New Jersey Municipal Income Fund,Fixed Income Long Only (Low Risk),"Principal Investment Strategies

Under normal market circumstances, the Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in municipal obligations that are exempt from regular federal income tax and the state taxes specified in the Fund’s investment objective (the “80% Policy”). The Fund may invest without limit in obligations the income from which is subject to the federal alternative minimum tax. At least 75% of net assets normally will be invested in municipal obligations rated at least investment grade at the time of investment (which are those rated Baa or higher by Moody’s Investors Service, Inc. (“Moody’s”), or BBB or higher by either Standard & Poor’s Ratings Services (“S&P”) or Fitch

Eaton Vance Municipal Income Funds	26	Prospectus dated December 1, 2017",{'source': 'MutualFundSummary/Eaton Vance New Jersey Municipal Income Fund.txt'}
Eaton Vance Pennsylvania Municipal Income Fund,Fixed Income Long Only (Low Risk),"Eaton Vance Pennsylvania Municipal Income Fund <head_breaker>

Pennsylvania Municipal Income Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax and Pennsylvania state and local taxes in the form of an investment exempt from Pennsylvania personal property taxes.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance Pennsylvania Municipal Income Fund.txt'}
Eaton Vance Real Estate Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

The Fund seeks total return through a combination of capital appreciation and current income. Under normal market conditions, the Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in equity securities of companies primarily engaged in the real estate industry (the “80% Policy”). Although it invests primarily in domestic securities, the Fund may invest up to 20% of its net assets in foreign securities. As an alternative to holding foreign stocks directly, the Fund may invest in U.S. dollar-denominated securities of foreign companies that trade on U.S. exchanges, or in the over-the-counter market (including depositary receipts which evidence ownership in underlying foreign stocks). The Fund may invest in exchange-traded funds (“ETFs”), a type of pooled investment vehicle, in order to

Eaton Vance Domestic Equity Funds	21	Prospectus dated May 1, 2018",{'source': 'MutualFundSummary/Eaton Vance Real Estate Fund.txt'}
Eaton Vance Small-Cap Fund,Equity Long Only (Low Risk),"Eaton Vance Small

Cap Fund

<head_breaker>

Eaton Vance Small

Cap Fund

Investment Objective

The Fund’s investment objective is to seek long-term capital appreciation.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance Small-Cap Fund.txt'}
Eaton Vance Special Equities Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

Under normal market conditions, the Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in equity securities (the “80% Policy”). The Fund invests primarily in common stocks of companies with market capitalizations comparable to those of companies included in the Russell 2500™ Index, but the Fund may also invest in

Eaton Vance Domestic Equity Funds	29	Prospectus dated May 1, 2018",{'source': 'MutualFundSummary/Eaton Vance Special Equities Fund.txt'}
Eaton Vance TABS 1-to-10 Year Laddered Municipal Bond Fund,Fixed Income Long Only (Low Risk),"Eaton Vance TABS 1-to-10 Year Laddered Municipal Bond Fund <head_breaker>

Eaton Vance TABS 1-to-10 Year Laddered Municipal Bond Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance TABS 1-to-10 Year Laddered Municipal Bond Fund.txt'}
Eaton Vance TABS 10-to-20 Year Laddered Municipal Bond Fund,Fixed Income Long Only (Low Risk),"Eaton Vance TABS 10-to-20 Year Laddered Municipal Bond Fund <head_breaker>

Eaton Vance TABS 10-to-20 Year Laddered Municipal Bond Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance TABS 10-to-20 Year Laddered Municipal Bond Fund.txt'}
Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond Fund,Fixed Income Long Only (Low Risk),"Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond Fund <head_breaker>

Investment Objective

The Fund’s investment objective is to seek current income exempt from regular federal income tax.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond Fund.txt'}
Eaton Vance TABS Short-Term Municipal Bond Fund,Fixed Income Long Only (Low Risk),"Eaton Vance TABS Short

Term Municipal Bond Fund

<head_breaker>

Eaton Vance TABS Short

Term Municipal Bond Fund

Investment Objective

The Fund’s investment objective is to seek after-tax total return.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance TABS Short-Term Municipal Bond Fund.txt'}
Eaton Vance TABS Intermediate-Term Municipal Bond Fund,Fixed Income Long Only (Low Risk),"Eaton Vance TABS Intermediate

Term Municipal Bond Fund

<head_breaker>

Eaton Vance TABS Intermediate

Term Municipal Bond Fund

Investment Objective

The Fund’s investment objective is to seek after-tax total return.

Fees and Expenses of the Fund",{'source': 'MutualFundSummary/Eaton Vance TABS Intermediate-Term Municipal Bond Fund.txt'}
Emerging Markets Fund,Equity Long Only (Low Risk),"PRINCIPAL INVESTMENT STRATEGY

The Fund normally invests at least 80% of its assets in equity securities of emerging-market companies. The “equity securities” in which the Fund principally invests are common stocks, preferred stocks, securities convertible into common stocks, and securities that carry the right to buy common stocks. This 80% policy may be changed upon at least 60 days’ written notice to shareholders.

PRINCIPAL RISKS",{'source': 'MutualFundSummary/Emerging Markets Fund.txt'}
EMERGING MARKETS SMALL CAP FUND,Equity Long Only (Low Risk),"#2#

Principal Investment Strategies

The fund will invest at least 80% of its net assets in securities issued by small cap companies that are located in emerging market countries. The fund generally invests in equity securities that are denominated in foreign currencies.

The portfolio managers consider small cap companies to include companies that, at the time of purchase, have market capitalizations not greater than the larger of the market capitalization of the largest company in the MSCI Emerging Markets Small Cap Index or $6 billion. As of January 31, 2018 , the total market capitalization of the largest company in the index was $6.6 billion .",{'source': 'MutualFundSummary/EMERGING MARKETS SMALL CAP FUND.txt'}
Federated MDT All Cap Core Fund,Equity Long Only (Low Risk),"Federated MDT All Cap Core Fund

<head_breaker>

Fund Summary Information

Federated MDT All Cap Core Fund (the “Fund”)

RISK/RETURN SUMMARY: INVESTMENT OBJECTIVE

The Fund's investment objective is long-term capital appreciation.

RISK/RETURN SUMMARY: FEES AND EXPENSES",{'source': 'MutualFundSummary/Federated MDT All Cap Core Fund.txt'}
Federated MDT Balanced Fund,Balanced Fund (Low Risk),"Federated MDT Balanced Fund

<head_breaker>

Fund Summary Information

Federated MDT Balanced Fund (the “Fund”)

RISK/RETURN SUMMARY: INVESTMENT OBJECTIVE

The Fund's investment objective is the possibility of long-term growth of capital and income.

RISK/RETURN SUMMARY: FEES AND EXPENSES",{'source': 'MutualFundSummary/Federated MDT Balanced Fund.txt'}
EQUITY GROWTH FUND,Equity Long Only (Low Risk),"2

Principal Investment Strategies

In selecting stocks for the fund, the portfolio managers use quantitative management techniques in a two-step process. First, the managers rank stocks, primarily large capitalization, publicly traded U.S. companies with a market capitalization greater than $2 billion, from most attractive to least attractive based on an objective set of measures, including valuation, quality, growth, and sentiment. Second, the portfolio managers use a quantitative model to build a portfolio of stocks from the ranking described above that they believe will provide the optimal balance between risk and expected return.

Under normal market conditions, at least 80% of the fund’s net assets will be invested in equity securities.

The portfolio managers generally sell a stock when they believe it has become less attractive relative to other opportunities, its risk characteristics outweigh its return opportunity or specific events alter its prospects.

Principal Risks",{'source': 'MutualFundSummary/EQUITY GROWTH FUND.txt'}
Federated MDT Large Cap Growth Fund,Equity Long Only (Low Risk),"Federated MDT Large Cap Growth Fund

<head_breaker>

Fund Summary Information

Federated MDT Large Cap Growth Fund (the “Fund”)

RISK/RETURN SUMMARY: INVESTMENT OBJECTIVE

The Fund's investment objective is long-term capital appreciation.

RISK/RETURN SUMMARY: FEES AND EXPENSES",{'source': 'MutualFundSummary/Federated MDT Large Cap Growth Fund.txt'}
Federated MDT Small Cap Core Fund,Equity Long Only (Low Risk),"Federated MDT Small Cap Core Fund

<head_breaker>

Fund Summary Information

Federated MDT Small Cap Core Fund (the “Fund”)

RISK/RETURN SUMMARY: INVESTMENT OBJECTIVE

The Fund's investment objective is long-term capital appreciation.

RISK/RETURN SUMMARY: FEES AND EXPENSES",{'source': 'MutualFundSummary/Federated MDT Small Cap Core Fund.txt'}
